NCBI,Name,FullName,FullNCBI
1958,Herminiimonas,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Burkholderiales;F__Oxalobacteraceae;G__Herminiimonas,1;3;36;174;369;654;1958
2030,Azovibrio,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Rhodocyclales;F__Rhodocyclaceae;G__Azovibrio,1;3;36;174;378;666;2030
2061,Desulfatiferula,R__root;D__Bacteria;P__Proteobacteria;C__Deltaproteobacteria;O__Desulfobacterales;F__Desulfobacteraceae;G__Desulfatiferula,1;3;36;175;385;676;2061
2274,Thalassomonas,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Alteromonadales;F__Colwelliaceae;G__Thalassomonas,1;3;36;177;401;714;2274
1589,unclassified_Methylocystaceae,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Rhizobiales;F__Methylocystaceae;F1__unclassified_Methylocystaceae,1;3;36;173;360;627;1589
3261,unclassified_Brevibacteriaceae,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Actinobacteridae;O__Actinomycetales;O1__Micrococcineae;F__Brevibacteriaceae;F1__unclassified_Brevibacteriaceae,1;3;18;123;294;514;1048;3103;3261
1243,Eudoraea,R__root;D__Bacteria;P__Bacteroidetes;C__Flavobacteriia;O__Flavobacteriales;F__Flavobacteriaceae;G__Eudoraea,1;3;21;139;309;552;1243
1289,Mesonia,R__root;D__Bacteria;P__Bacteroidetes;C__Flavobacteriia;O__Flavobacteriales;F__Flavobacteriaceae;G__Mesonia,1;3;21;139;309;552;1289
2506,Frateuria,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Xanthomonadales;F__Xanthomonadaceae;G__Frateuria,1;3;36;177;413;781;2506
1984,Methylophilus,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Methylophilales;F__Methylophilaceae;G__Methylophilus,1;3;36;174;375;661;1984
489,Methanotrichaceae,R__root;D__Archaea;P__Euryarchaeota;C__Methanomicrobia;O__Methanosarcinales;F__Methanotrichaceae,1;2;5;69;229;489
954,Methanothrix,R__root;D__Archaea;P__Euryarchaeota;C__Methanomicrobia;O__Methanosarcinales;F__Methanotrichaceae;G__Methanothrix,1;2;5;69;229;489;954
1938,Ottowia,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Burkholderiales;F__Comamonadaceae;G__Ottowia,1;3;36;174;369;653;1938
1882,Kerstersia,R__root;D__Bacteria;P__Proteobacteria;C__Betaproteobacteria;O__Burkholderiales;F__Alcaligenaceae;G__Kerstersia,1;3;36;174;369;650;1882
2826,Mahella,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis IV;G__Mahella,1;3;52;202;459;861;2826
1202,Brumimicrobium,R__root;D__Bacteria;P__Bacteroidetes;C__Flavobacteriia;O__Flavobacteriales;F__Cryomorphaceae;G__Brumimicrobium,1;3;21;139;309;551;1202
3411,Phytohabitans,R__root;D__Bacteria;P__Actinobacteria;C__Actinobacteria;C1__Actinobacteridae;O__Actinomycetales;O1__Micromonosporineae;F__Micromonosporaceae;G__Phytohabitans,1;3;18;123;294;514;1049;3119;3411
713,Celerinatantimonadaceae,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Alteromonadales;F__Celerinatantimonadaceae,1;3;36;177;401;713
2272,Celerinatantimonas,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Alteromonadales;F__Celerinatantimonadaceae;G__Celerinatantimonas,1;3;36;177;401;713;2272
2303,Marichromatium,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Chromatiales;F__Chromatiaceae;G__Marichromatium,1;3;36;177;404;725;2303
2476,Cycloclasticus,R__root;D__Bacteria;P__Proteobacteria;C__Gammaproteobacteria;O__Thiotrichales;F__Piscirickettsiaceae;G__Cycloclasticus,1;3;36;177;412;775;2476
357,Kiloniellales,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Kiloniellales,1;3;36;173;357
614,Kiloniellaceae,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Kiloniellales;F__Kiloniellaceae,1;3;36;173;357;614
1521,Kiloniella,R__root;D__Bacteria;P__Proteobacteria;C__Alphaproteobacteria;O__Kiloniellales;F__Kiloniellaceae;G__Kiloniella,1;3;36;173;357;614;1521
