NCBI,Name,FullName,FullNCBI
0,unclassified,U__unclassified,0
1,root,R__root,1
3,Bacteria,R__root;D__Bacteria,1;3
52,Firmicutes,R__root;D__Bacteria;P__Firmicutes,1;3;52
201,Bacilli,R__root;D__Bacteria;P__Firmicutes;C__Bacilli,1;3;52;201
457,Lactobacillales,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales,1;3;52;201;457
850,Lactobacillaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Lactobacillaceae,1;3;52;201;457;850
2772,Lactobacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Lactobacillaceae;G__Lactobacillus,1;3;52;201;457;850;2772
2773,Pediococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Lactobacillaceae;G__Pediococcus,1;3;52;201;457;850;2773
852,Streptococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae,1;3;52;201;457;852
2782,Streptococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae;G__Streptococcus,1;3;52;201;457;852;2782
2780,Lactococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae;G__Lactococcus,1;3;52;201;457;852;2780
2783,unclassified_Streptococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae;F1__unclassified_Streptococcaceae,1;3;52;201;457;852;2783
2781,Lactovum,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Streptococcaceae;G__Lactovum,1;3;52;201;457;852;2781
851,Leuconostocaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Leuconostocaceae,1;3;52;201;457;851
2778,Weissella,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Leuconostocaceae;G__Weissella,1;3;52;201;457;851;2778
2776,Leuconostoc,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Leuconostocaceae;G__Leuconostoc,1;3;52;201;457;851;2776
848,Carnobacteriaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae,1;3;52;201;457;848
2757,Granulicatella,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Granulicatella,1;3;52;201;457;848;2757
2756,Dolosigranulum,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Dolosigranulum,1;3;52;201;457;848;2756
2752,Atopostipes,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Atopostipes,1;3;52;201;457;848;2752
2764,unclassified_Carnobacteriaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;F1__unclassified_Carnobacteriaceae,1;3;52;201;457;848;2764
2763,Trichococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Trichococcus,1;3;52;201;457;848;2763
2759,Jeotgalibaca,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Jeotgalibaca,1;3;52;201;457;848;2759
2762,Pisciglobus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Pisciglobus,1;3;52;201;457;848;2762
2747,Alkalibacterium,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Carnobacteriaceae;G__Alkalibacterium,1;3;52;201;457;848;2747
849,Enterococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae,1;3;52;201;457;849
2766,Enterococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae;G__Enterococcus,1;3;52;201;457;849;2766
2768,Pilibacter,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae;G__Pilibacter,1;3;52;201;457;849;2768
2770,Vagococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae;G__Vagococcus,1;3;52;201;457;849;2770
2771,unclassified_Enterococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Enterococcaceae;F1__unclassified_Enterococcaceae,1;3;52;201;457;849;2771
847,Aerococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae,1;3;52;201;457;847
2740,Aerococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae;G__Aerococcus,1;3;52;201;457;847;2740
2744,Globicatella,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae;G__Globicatella,1;3;52;201;457;847;2744
2743,Facklamia,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae;G__Facklamia,1;3;52;201;457;847;2743
2739,Abiotrophia,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;F__Aerococcaceae;G__Abiotrophia,1;3;52;201;457;847;2739
853,unclassified_Lactobacillales,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Lactobacillales;O1__unclassified_Lactobacillales,1;3;52;201;457;853
456,Bacillales,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales,1;3;52;201;456
843,Staphylococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Staphylococcaceae,1;3;52;201;456;843
2720,Staphylococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Staphylococcaceae;G__Staphylococcus,1;3;52;201;456;843;2720
2717,Macrococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Staphylococcaceae;G__Macrococcus,1;3;52;201;456;843;2717
832,Bacillaceae 1,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 1,1;3;52;201;456;832
2618,Bacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 1;G__Bacillus,1;3;52;201;456;832;2618
2617,Anoxybacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 1;G__Anoxybacillus,1;3;52;201;456;832;2617
2621,Falsibacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 1;G__Falsibacillus,1;3;52;201;456;832;2621
2623,Geobacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 1;G__Geobacillus,1;3;52;201;456;832;2623
2626,unclassified_Bacillaceae 1,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 1;F1__unclassified_Bacillaceae 1,1;3;52;201;456;832;2626
846,unclassified_Bacillales,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;O1__unclassified_Bacillales,1;3;52;201;456;846
841,Planococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Planococcaceae,1;3;52;201;456;841
2699,Lysinibacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Planococcaceae;G__Lysinibacillus,1;3;52;201;456;841;2699
2710,unclassified_Planococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Planococcaceae;F1__unclassified_Planococcaceae,1;3;52;201;456;841;2710
2701,Planococcaceae_incertae_sedis,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Planococcaceae;G__Planococcaceae_incertae_sedis,1;3;52;201;456;841;2701
2694,Chryseomicrobium,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Planococcaceae;G__Chryseomicrobium,1;3;52;201;456;841;2694
839,Paenibacillaceae 1,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Paenibacillaceae 1,1;3;52;201;456;839
2684,Paenibacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Paenibacillaceae 1;G__Paenibacillus,1;3;52;201;456;839;2684
2683,Fontibacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Paenibacillaceae 1;G__Fontibacillus,1;3;52;201;456;839;2683
2681,Brevibacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Paenibacillaceae 1;G__Brevibacillus,1;3;52;201;456;839;2681
2682,Cohnella,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Paenibacillaceae 1;G__Cohnella,1;3;52;201;456;839;2682
2687,unclassified_Paenibacillaceae 1,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Paenibacillaceae 1;F1__unclassified_Paenibacillaceae 1,1;3;52;201;456;839;2687
835,Bacillales_Incertae Sedis XI,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillales_Incertae Sedis XI,1;3;52;201;456;835
2670,Gemella,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillales_Incertae Sedis XI;G__Gemella,1;3;52;201;456;835;2670
833,Bacillaceae 2,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 2,1;3;52;201;456;833
2668,unclassified_Bacillaceae 2,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 2;F1__unclassified_Bacillaceae 2,1;3;52;201;456;833;2668
2638,Halobacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 2;G__Halobacillus,1;3;52;201;456;833;2638
2641,Marinococcus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 2;G__Marinococcus,1;3;52;201;456;833;2641
2629,Amphibacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillaceae 2;G__Amphibacillus,1;3;52;201;456;833;2629
836,Bacillales_Incertae Sedis XII,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillales_Incertae Sedis XII,1;3;52;201;456;836
2671,Exiguobacterium,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillales_Incertae Sedis XII;G__Exiguobacterium,1;3;52;201;456;836;2671
837,Bacillales_incertae_sedis,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillales_incertae_sedis,1;3;52;201;456;837
2674,Desulfuribacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Bacillales_incertae_sedis;G__Desulfuribacillus,1;3;52;201;456;837;2674
842,Sporolactobacillaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Sporolactobacillaceae,1;3;52;201;456;842
2713,Sporolactobacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Sporolactobacillaceae;G__Sporolactobacillus,1;3;52;201;456;842;2713
831,Alicyclobacillaceae,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Alicyclobacillaceae,1;3;52;201;456;831
2609,Alicyclobacillus,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;O__Bacillales;F__Alicyclobacillaceae;G__Alicyclobacillus,1;3;52;201;456;831;2609
458,unclassified_Bacilli,R__root;D__Bacteria;P__Firmicutes;C__Bacilli;C1__unclassified_Bacilli,1;3;52;201;458
203,Erysipelotrichia,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia,1;3;52;203
464,Erysipelotrichales,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales,1;3;52;203;464
893,Erysipelotrichaceae,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae,1;3;52;203;464;893
3019,Clostridium XVIII,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Clostridium XVIII,1;3;52;203;464;893;3019
3032,unclassified_Erysipelotrichaceae,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae;F1__unclassified_Erysipelotrichaceae,1;3;52;203;464;893;3032
3020,Coprobacillus,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Coprobacillus,1;3;52;203;464;893;3020
3017,Catenibacterium,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Catenibacterium,1;3;52;203;464;893;3017
3031,Turicibacter,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Turicibacter,1;3;52;203;464;893;3031
3015,Allobaculum,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Allobaculum,1;3;52;203;464;893;3015
3028,Kandleria,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Kandleria,1;3;52;203;464;893;3028
3023,Erysipelotrichaceae_incertae_sedis,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Erysipelotrichaceae_incertae_sedis,1;3;52;203;464;893;3023
3026,Holdemanella,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Holdemanella,1;3;52;203;464;893;3026
3030,Solobacterium,R__root;D__Bacteria;P__Firmicutes;C__Erysipelotrichia;O__Erysipelotrichales;F__Erysipelotrichaceae;G__Solobacterium,1;3;52;203;464;893;3030
202,Clostridia,R__root;D__Bacteria;P__Firmicutes;C__Clostridia,1;3;52;202
459,Clostridiales,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales,1;3;52;202;459
879,Peptostreptococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae,1;3;52;202;459;879
2939,Romboutsia,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Romboutsia,1;3;52;202;459;879;2939
2943,unclassified_Peptostreptococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;F1__unclassified_Peptostreptococcaceae,1;3;52;202;459;879;2943
2942,Terrisporobacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Terrisporobacter,1;3;52;202;459;879;2942
2933,Clostridium XI,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Clostridium XI,1;3;52;202;459;879;2933
2935,Intestinibacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Intestinibacter,1;3;52;202;459;879;2935
2937,Peptostreptococcus,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Peptostreptococcus,1;3;52;202;459;879;2937
2931,Acetoanaerobium,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Acetoanaerobium,1;3;52;202;459;879;2931
2940,Sporacetigenium,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Sporacetigenium,1;3;52;202;459;879;2940
2938,Proteocatella,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Proteocatella,1;3;52;202;459;879;2938
2932,Asaccharospora,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Asaccharospora,1;3;52;202;459;879;2932
2934,Filifactor,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Filifactor,1;3;52;202;459;879;2934
2936,Peptostreptococcaceae_incertae_sedis,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Peptostreptococcaceae;G__Peptostreptococcaceae_incertae_sedis,1;3;52;202;459;879;2936
881,Ruminococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae,1;3;52;202;459;881
2970,unclassified_Ruminococcaceae,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;F1__unclassified_Ruminococcaceae,1;3;52;202;459;881;2970
2962,Oscillibacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Oscillibacter,1;3;52;202;459;881;2962
2966,Ruminococcus,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Ruminococcus,1;3;52;202;459;881;2966
2953,Clostridium IV,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Clostridium IV,1;3;52;202;459;881;2953
2956,Faecalibacterium,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Faecalibacterium,1;3;52;202;459;881;2956
2967,Saccharofermentans,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Saccharofermentans,1;3;52;202;459;881;2967
2947,Anaerobacterium,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Anaerobacterium,1;3;52;202;459;881;2947
2954,Ercella,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Ercella,1;3;52;202;459;881;2954
2958,Flavonifractor,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Flavonifractor,1;3;52;202;459;881;2958
2963,Papillibacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Papillibacter,1;3;52;202;459;881;2963
2950,Butyricicoccus,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Butyricicoccus,1;3;52;202;459;881;2950
2949,Anaerotruncus,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Anaerotruncus,1;3;52;202;459;881;2949
2957,Fastidiosipila,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Fastidiosipila,1;3;52;202;459;881;2957
2965,Pseudoflavonifractor,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Pseudoflavonifractor,1;3;52;202;459;881;2965
2955,Ethanoligenens,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Ethanoligenens,1;3;52;202;459;881;2955
2968,Sporobacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Sporobacter,1;3;52;202;459;881;2968
2959,Gemmiger,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Ruminococcaceae;G__Gemmiger,1;3;52;202;459;881;2959
874,Lachnospiraceae,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae,1;3;52;202;459;874
2911,unclassified_Lachnospiraceae,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;F1__unclassified_Lachnospiraceae,1;3;52;202;459;874;2911
2895,Lachnospiracea_incertae_sedis,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Lachnospiracea_incertae_sedis,1;3;52;202;459;874;2895
2882,Clostridium XlVa,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Clostridium XlVa,1;3;52;202;459;874;2882
2878,Blautia,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Blautia,1;3;52;202;459;874;2878
2906,Ruminococcus2,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Ruminococcus2,1;3;52;202;459;874;2906
2879,Butyrivibrio,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Butyrivibrio,1;3;52;202;459;874;2879
2905,Roseburia,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Roseburia,1;3;52;202;459;874;2905
2877,Anaerostipes,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Anaerostipes,1;3;52;202;459;874;2877
2883,Clostridium XlVb,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Clostridium XlVb,1;3;52;202;459;874;2883
2874,Acetatifactor,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Acetatifactor,1;3;52;202;459;874;2874
2885,Dorea,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Dorea,1;3;52;202;459;874;2885
2886,Eisenbergiella,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Eisenbergiella,1;3;52;202;459;874;2886
2892,Lachnoanaerobaculum,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Lachnoanaerobaculum,1;3;52;202;459;874;2892
2903,Pseudobutyrivibrio,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Pseudobutyrivibrio,1;3;52;202;459;874;2903
2887,Fusicatenibacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Fusicatenibacter,1;3;52;202;459;874;2887
2884,Coprococcus,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Coprococcus,1;3;52;202;459;874;2884
2910,Syntrophococcus,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Syntrophococcus,1;3;52;202;459;874;2910
2909,Stomatobaculum,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Stomatobaculum,1;3;52;202;459;874;2909
2889,Howardella,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Howardella,1;3;52;202;459;874;2889
2890,Hungatella,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Hungatella,1;3;52;202;459;874;2890
2881,Cellulosilyticum,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Cellulosilyticum,1;3;52;202;459;874;2881
2896,Lactonifactor,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Lactonifactor,1;3;52;202;459;874;2896
2898,Mobilitalea,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Mobilitalea,1;3;52;202;459;874;2898
2876,Anaerosporobacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Anaerosporobacter,1;3;52;202;459;874;2876
2900,Murimonas,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Murimonas,1;3;52;202;459;874;2900
2901,Oribacterium,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Lachnospiraceae;G__Oribacterium,1;3;52;202;459;874;2901
856,Clostridiaceae 1,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiaceae 1,1;3;52;202;459;856
2788,Clostridium sensu stricto,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiaceae 1;G__Clostridium sensu stricto,1;3;52;202;459;856;2788
2797,unclassified_Clostridiaceae 1,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiaceae 1;F1__unclassified_Clostridiaceae 1,1;3;52;202;459;856;2797
2786,Anaerobacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiaceae 1;G__Anaerobacter,1;3;52;202;459;856;2786
2790,Fonticella,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiaceae 1;G__Fonticella,1;3;52;202;459;856;2790
884,unclassified_Clostridiales,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;O1__unclassified_Clostridiales,1;3;52;202;459;884
864,Clostridiales_Incertae Sedis XIII,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis XIII,1;3;52;202;459;864
2847,Anaerovorax,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis XIII;G__Anaerovorax,1;3;52;202;459;864;2847
2848,Mogibacterium,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis XIII;G__Mogibacterium,1;3;52;202;459;864;2848
2849,unclassified_Clostridiales_Incertae Sedis XIII,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis XIII;F1__unclassified_Clostridiales_Incertae Sedis XIII,1;3;52;202;459;864;2849
862,Clostridiales_Incertae Sedis XI,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis XI,1;3;52;202;459;862
2827,Anaerococcus,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis XI;G__Anaerococcus,1;3;52;202;459;862;2827
2842,unclassified_Clostridiales_Incertae Sedis XI,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis XI;F1__unclassified_Clostridiales_Incertae Sedis XI,1;3;52;202;459;862;2842
2836,Parvimonas,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis XI;G__Parvimonas,1;3;52;202;459;862;2836
2837,Sedimentibacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis XI;G__Sedimentibacter,1;3;52;202;459;862;2837
2839,Sporanaerobacter,R__root;D__Bacteria;P__Firmicutes;C__Clostridia;O__Clostridiales;F__Clostridiales_Incertae Sedis XI;G__Sporanaerobacter,1;3;52;202;459;862;2839
